zone_id,timezone_code,timezone_gap,timezone_name_e
Pacific/Niue,NUT,-11:00,Niue Time - Alofi
Pacific/Midway,SST,-11:00,Samoa Time - Midway
Pacific/Pago_Pago,SST,-11:00,Samoa Time - Pago Pago
Pacific/Rarotonga,CKT,-10:00,Cook Islands Time - Avarua
America/Adak,HAST,-10:00,Hawaii-Aleutian Time - Adak
Pacific/Honolulu,HAST,-10:00,"Hawaii-Aleutian Time - Honolulu, East Honolulu, Pearl City, Hilo"
Pacific/Tahiti,TAHT,-10:00,"Tahiti Time - Faaa, Papeete, Punaauia"
Pacific/Marquesas,MART,-09:30,Marquesas Time - Marquesas
America/Anchorage,AKST,-09:00,"Alaska Time - Anchorage, Juneau, Fairbanks, Eagle River"
Pacific/Gambier,GAMT,-09:00,Gambier Time - Gambier
America/Los_Angeles,PST,-08:00,"Pacific Time - Los Angeles, San Diego, San Jose, San Francisco"
America/Tijuana,PST,-08:00,"Pacific Time - Tijuana, Mexicali, Ensenada, Rosarito"
America/Vancouver,PST,-08:00,"Pacific Time - Vancouver, Surrey, Okanagan, Victoria"
Pacific/Pitcairn,PST,-08:00,Pitcairn Time - Adamstown
America/Hermosillo,GMT-7,-07:00,"Mexican Pacific Time - Hermosillo, Culiacán, Ciudad Obregón, Mazatlán"
America/Edmonton,MST,-07:00,"Mountain Time - Calgary, Edmonton, Red Deer, Sherwood Park"
America/Ciudad_Juarez,MST,-07:00,Mountain Time - Ciudad Juárez
America/Denver,MST,-07:00,"Mountain Time - Denver, El Paso, Albuquerque, Colorado Springs"
America/Phoenix,MST,-07:00,"Mountain Time - Phoenix, Tucson, Mesa, Chandler"
America/Whitehorse,YT,-07:00,"Yukon Time - Whitehorse, Fort St. John, Creston, Dawson"
America/Belize,CST,-06:00,"Central Time - Belize City, San Ignacio, San Pedro, Orange Walk"
America/Chicago,CST,-06:00,"Central Time - Chicago, Houston, San Antonio, Dallas"
America/Guatemala,CST,-06:00,"Central Time - Guatemala City, Villa Nueva, Mixco, Cobán"
America/Managua,CST,-06:00,"Central Time - Managua, León, Masaya, Chinandega"
America/Mexico_City,CST,-06:00,"Central Time - Mexico City, Iztapalapa, León de los Aldama, Puebla"
America/Matamoros,CST,-06:00,"Central Time - Reynosa, Heroica Matamoros, Nuevo Laredo, Piedras Negras"
America/Costa_Rica,CST,-06:00,"Central Time - San José, Limón, San Francisco, Alajuela"
America/El_Salvador,CST,-06:00,"Central Time - San Salvador, Soyapango, San Miguel, Santa Ana"
America/Regina,CST,-06:00,"Central Time - Saskatoon, Regina, Prince Albert, Moose Jaw"
America/Tegucigalpa,CST,-06:00,"Central Time - Tegucigalpa, San Pedro Sula, La Ceiba, Choloma"
America/Winnipeg,CST,-06:00,"Central Time - Winnipeg, Brandon, Steinbach, Kenora"
Pacific/Easter,EAST,-06:00,Easter Island Time - Easter
Pacific/Galapagos,GALT,-06:00,Galapagos Time - Galapagos
America/Rio_Branco,ACT,-05:00,"Acre Time - Rio Branco, Cruzeiro do Sul, Senador Guiomard, Sena Madureira"
America/Bogota,COT,-05:00,"Colombia Time - Bogotá, Cali, Medellín, Barranquilla"
America/Havana,CST,-05:00,"Cuba Time - Havana, Santiago de Cuba, Camagüey, Holguín"
America/Atikokan,EST,-05:00,Eastern Time - Atikokan
America/Cancun,EST,-05:00,"Eastern Time - Cancún, Chetumal, Playa del Carmen, Cozumel"
America/Grand_Turk,EST,-05:00,Eastern Time - Cockburn Town
America/Cayman,EST,-05:00,"Eastern Time - George Town, West Bay"
America/Jamaica,EST,-05:00,"Eastern Time - Kingston, New Kingston, Spanish Town, Portmore"
America/Nassau,EST,-05:00,"Eastern Time - Nassau, Lucaya, Freeport"
America/New_York,EST,-05:00,"Eastern Time - New York City, Brooklyn, Queens, Philadelphia"
America/Panama,EST,-05:00,"Eastern Time - Panamá, San Miguelito, Juan Díaz, David"
America/Port-au-Prince,EST,-05:00,"Eastern Time - Port-au-Prince, Carrefour, Delmas 73, Port-de-Paix"
America/Toronto,EST,-05:00,"Eastern Time - Toronto, Montréal, Ottawa, Mississauga"
America/Guayaquil,ECT,-05:00,"Ecuador Time - Quito, Guayaquil, Cuenca, Santo Domingo de los Colorados"
America/Lima,PET,-05:00,"Peru Time - Lima, Callao, Arequipa, Trujillo"
America/Manaus,AMT,-04:00,"Amazon Time - Manaus, Campo Grande, Cuiabá, Porto Velho"
America/St_Kitts,AST,-04:00,Atlantic Time - Basseterre
America/Blanc-Sablon,AST,-04:00,Atlantic Time - Blanc-Sablon
