timezone_gap,timezone_code,timezone_name_e
-11:00,NUT,Niue Time
-11:00,SST,Samoa Standard Time
-10:00,CKT,Cook Islands Standard Time
-10:00,HAST,Hawaii-Aleutian Standard Time
-09:00,HADT,Hawaii-Aleutian Daylight Time
-10:00,TAHT,Tahiti Time
-09:30,MART,Marquesas Time
-09:00,AKST,Alaska Standard Time
-08:00,AKDT,Alaska Daylight Time
-09:00,GAMT,Gambier Time
-07:00,PDT,Pacific Daylight Time (North America)
-08:00,PST,Pacific Standard Time (North America)
-08:00,PST,Pitcairn Time


-07:00,ABC,Mexican Pacific Standard Time
-07:00,ABC,Mexican Pacific Time
-07:00,ABC,Mountain Standard Time - Dawson Creek
-07:00,ABC,Mountain Standard Time - Fort Nelson
-07:00,ABC,Mountain Standard Time - Phoenix
-07:00,ABC,Mountain Time - Boise
-07:00,ABC,Mountain Time - Cambridge Bay
-07:00,ABC,Mountain Time - Ciudad Juárez
-07:00,ABC,Mountain Time - Denver
-07:00,ABC,Mountain Time - Edmonton
-07:00,ABC,Mountain Time - Inuvik
-07:00,ABC,Mountain Time - Yellowknife
-07:00,ABC,Yukon Time - Dawson
-07:00,ABC,Yukon Time - Whitehorse
-06:00,ABC,Central Standard Time - Belize
-06:00,ABC,Central Standard Time - Costa Rica
-06:00,ABC,Central Standard Time - El Salvador
-06:00,ABC,Central Standard Time - Guatemala
-06:00,ABC,Central Standard Time - Managua
-06:00,ABC,Central Standard Time - Regina
-06:00,ABC,Central Standard Time - Swift Current
-06:00,ABC,Central Standard Time - Tegucigalpa
-06:00,ABC,Central Time - Bahía de Banderas
-06:00,ABC,Central Time - Beulah, North Dakota
-06:00,ABC,Central Time - Center, North Dakota
-06:00,ABC,Central Time - Chicago
-06:00,ABC,Central Time - Chihuahua
-06:00,ABC,Central Time - Knox, Indiana
-06:00,ABC,Central Time - Matamoros
-06:00,ABC,Central Time - Menominee
-06:00,ABC,Central Time - Mérida
-06:00,ABC,Central Time - Mexico City
-06:00,ABC,Central Time - Monterrey
-06:00,ABC,Central Time - New Salem, North Dakota
-06:00,ABC,Central Time - Ojinaga
-06:00,ABC,Central Time - Rainy River
-06:00,ABC,Central Time - Rankin Inlet
-06:00,ABC,Central Time - Resolute
-06:00,ABC,Central Time - Tell City, Indiana
-06:00,ABC,Central Time - Winnipeg
-06:00,ABC,Galapagos Time
-05:00,ABC,Acre Standard Time - Eirunepe
-05:00,ABC,Acre Standard Time - Rio Branco
-05:00,ABC,Colombia Standard Time
-05:00,ABC,Cuba Time
-05:00,ABC,Easter Island Time
-05:00,ABC,Eastern Standard Time - Cancún
-05:00,ABC,Eastern Standard Time - Jamaica
-05:00,ABC,Eastern Standard Time - Panama
-05:00,ABC,Eastern Time - Detroit
-05:00,ABC,Eastern Time - Grand Turk
-05:00,ABC,Eastern Time - Indianapolis
-05:00,ABC,Eastern Time - Iqaluit
-05:00,ABC,Eastern Time - Louisville
-05:00,ABC,Eastern Time - Marengo, Indiana
-05:00,ABC,Eastern Time - Monticello, Kentucky
-05:00,ABC,Eastern Time - New York
-05:00,ABC,Eastern Time - Nipigon
-05:00,ABC,Eastern Time - Pangnirtung
-05:00,ABC,Eastern Time - Petersburg, Indiana
-05:00,ABC,Eastern Time - Port-au-Prince
-05:00,ABC,Eastern Time - Thunder Bay
-05:00,ABC,Eastern Time - Toronto
-05:00,ABC,Eastern Time - Vevay, Indiana
-05:00,ABC,Eastern Time - Vincennes, Indiana
-05:00,ABC,Eastern Time - Winamac, Indiana
-05:00,ABC,Ecuador Time
-05:00,ABC,Peru Standard Time
-04:00,ABC,Amazon Standard Time - Boa Vista
-04:00,ABC,Amazon Standard Time - Campo Grande
-04:00,ABC,Amazon Standard Time - Cuiaba
-04:00,ABC,Amazon Standard Time - Manaus
-04:00,ABC,Amazon Standard Time - Porto Velho
-04:00,ABC,Atlantic Standard Time - Barbados
-04:00,ABC,Atlantic Standard Time - Martinique
-04:00,ABC,Atlantic Standard Time - Puerto Rico
-04:00,ABC,Atlantic Standard Time - Santo Domingo
-04:00,ABC,Atlantic Time - Bermuda
-04:00,ABC,Atlantic Time - Glace Bay
-04:00,ABC,Atlantic Time - Goose Bay
-04:00,ABC,Atlantic Time - Halifax
-04:00,ABC,Atlantic Time - Moncton
-04:00,ABC,Atlantic Time - Thule
-04:00,ABC,Bolivia Time
-04:00,ABC,Guyana Time
-04:00,ABC,Venezuela Time
-03:30,ABC,Newfoundland Time
-03:00,ABC,Argentina Standard Time - Buenos Aires
-03:00,ABC,Argentina Standard Time - Catamarca
-03:00,ABC,Argentina Standard Time - Cordoba
-03:00,ABC,Argentina Standard Time - Jujuy
-03:00,ABC,Argentina Standard Time - La Rioja
-03:00,ABC,Argentina Standard Time - Mendoza
-03:00,ABC,Argentina Standard Time - Rio Gallegos
-03:00,ABC,Argentina Standard Time - Salta
-03:00,ABC,Argentina Standard Time - San Juan
-03:00,ABC,Argentina Standard Time - San Luis
-03:00,ABC,Argentina Standard Time - Tucuman
-03:00,ABC,Argentina Standard Time - Ushuaia
-03:00,ABC,Brasilia Standard Time - Araguaina
-03:00,ABC,Brasilia Standard Time - Bahia
-03:00,ABC,Brasilia Standard Time - Belem
-03:00,ABC,Brasilia Standard Time - Fortaleza
-03:00,ABC,Brasilia Standard Time - Maceio
-03:00,ABC,Brasilia Standard Time - Recife
