timezone_code,timezone_name_e,timezone_gap
ACDT,Australian Central Daylight Savings Time,+10:30
ACST,Australian Central Standard Time,+09:30
ACT,Acre Time,-05:00
ACT,ASEAN Common Time,+06:30 - +09:00
ADT,Atlantic Daylight Time,-03:00
AEDT,Australian Eastern Daylight Savings Time,+11:00
AEST,Australian Eastern Standard Time,+10:00
AFT,Afghanistan Time,+04:30
AKDT,Alaska Daylight Time,-08:00
AKST,Alaska Standard Time,-09:00
AMST,Amazon Summer Time (Brazil)[1],-03:00
AMT,Amazon Time (Brazil)[2],-04:00
AMT,Armenia Time,+04:00
ART,Argentina Time,-03:00
AST,Arabia Standard Time,+03:00
AST,Atlantic Standard Time,-04:00
AWST,Australian Western Standard Time,+08:00
AZOST,Azores Summer Time,±00:00
AZOT,Azores Standard Time,-01:00
AZT,Azerbaijan Time,+04:00
BDT,Brunei Time,+08:00
BIOT,British Indian Ocean Time,+06:00
BIT,Baker Island Time,-12:00
BOT,Bolivia Time,-04:00
BRST,Brasilia Summer Time,-02:00
BRT,Brasilia Time,-03:00
BST,Bangladesh Standard Time,+06:00
BST,Bougainville Standard Time[3],+11:00
BST,British Summer Time (British Standard Time from Feb 1968 to Oct 1971),+01:00
BTT,Bhutan Time,+06:00
CAT,Central Africa Time,+02:00
CCT,Cocos Islands Time,+06:30
CDT,Central Daylight Time (North America),-05:00
CDT,Cuba Daylight Time[4],-04:00
CEST,Central European Summer Time (Cf. HAEC),+02:00
CET,Central European Time,+01:00
CHADT,Chatham Daylight Time,+13:45
CHAST,Chatham Standard Time,+12:45
CHOT,Choibalsan Standard Time,+08:00
CHOST,Choibalsan Summer Time,+09:00
CHST,Chamorro Standard Time,+10:00
CHUT,Chuuk Time,+10:00
CIST,Clipperton Island Standard Time,-08:00
CIT,Central Indonesia Time,+08:00
CKT,Cook Island Time,-10:00
CLST,Chile Summer Time,-03:00
CLT,Chile Standard Time,-04:00
COST,Colombia Summer Time,-04:00
COT,Colombia Time,-05:00
CST,Central Standard Time (North America),-06:00
CST,China Standard Time,+08:00
ACST,Central Standard Time (Australia),+09:30
ACDT,Central Summer Time (Australia),+10:30
CST,Cuba Standard Time,-05:00
CT,China Time,+08:00
CVT,Cape Verde Time,-01:00
CWST,Central Western Standard Time (Australia) unofficial,+08:45
CXT,Christmas Island Time,+07:00
DAVT,Davis Time,+07:00
DDUT,Dumont d'Urville Time,+10:00
DFT,AIX specific equivalent of Central European Time[5],+01:00
EASST,Easter Island Summer Time,-05:00
EAST,Easter Island Standard Time,-06:00
EAT,East Africa Time,+03:00
ECT,Eastern Caribbean Time (does not recognise DST),-04:00
ECT,Ecuador Time,-05:00
EDT,Eastern Daylight Time (North America),-04:00
AEDT,Eastern Summer Time (Australia),+11:00
EEST,Eastern European Summer Time,+03:00
EET,Eastern European Time,+02:00
EGST,Eastern Greenland Summer Time,±00:00
EGT,Eastern Greenland Time,-01:00
EIT,Eastern Indonesian Time,+09:00
EST,Eastern Standard Time (North America),-05:00
AEST,Eastern Standard Time (Australia),+10:00
FET,Further-eastern European Time,+03:00
FJT,Fiji Time,+12:00
FKST,Falkland Islands Summer Time,-03:00
FKT,Falkland Islands Time,-04:00
FNT,Fernando de Noronha Time,-02:00
GALT,Galapagos Time,-06:00
GAMT,Gambier Islands Time,-09:00
GET,Georgia Standard Time,+04:00
GFT,French Guiana Time,-03:00
GILT,Gilbert Island Time,+12:00
GIT,Gambier Island Time,-09:00
GMT,Greenwich Mean Time,±00:00
GST,South Georgia and the South Sandwich Islands Time,-02:00
GST,Gulf Standard Time,+04:00
GYT,Guyana Time,-04:00
HADT,Hawaii-Aleutian Daylight Time,-09:00
HAEC,Heure Avancée d'Europe Centrale francised name for CEST Time,+02:00
HAST,Hawaii-Aleutian Standard Time,-10:00
HKT,Hong Kong Time,+08:00
HMT,Heard and McDonald Islands Time,+05:00
HOVST,Khovd Summer Time,+08:00
HOVT,Khovd Standard Time,+07:00
ICT,Indochina Time,+07:00
IDT,Israel Daylight Time,+03:00
IOT,Indian Ocean Time,+03:00
IRDT,Iran Daylight Time,+04:30
IRKT,Irkutsk Time,+08:00
IRST,Iran Standard Time,+03:30
IST,Indian Standard Time,+05:30
IST,Irish Standard Time[6],+01:00
IST,Israel Standard Time,+02:00
JST,Japan Standard Time,+09:00
KGT,Kyrgyzstan Time,+06:00
KOST,Kosrae Time,+11:00
KRAT,Krasnoyarsk Time,+07:00
KST,Korea Standard Time,+09:00
LHST,Lord Howe Standard Time,+10:30
LHST,Lord Howe Summer Time,+11:00
LINT,Line Islands Time,+14:00
MAGT,Magadan Time,+12:00
MART,Marquesas Islands Time,-09:30
MAWT,Mawson Station Time,+05:00
MDT,Mountain Daylight Time (North America),-06:00
MET,Middle European Time Same zone as CET,+01:00
MEST,Middle European Summer Time Same zone as CEST,+02:00
MHT,Marshall Islands Time,+12:00
MIST,Macquarie Island Station Time,+11:00
MIT,Marquesas Islands Time,-09:30
MMT,Myanmar Standard Time,+06:30
MSK,Moscow Time,+03:00
MST,Malaysia Standard Time,+08:00
MST,Mountain Standard Time (North America),-07:00
MUT,Mauritius Time,+04:00
MVT,Maldives Time,+05:00
MYT,Malaysia Time,+08:00
NCT,New Caledonia Time,+11:00
NDT,Newfoundland Daylight Time,-02:30
NFT,Norfolk Time,+11:00
NPT,Nepal Time,+05:45
NST,Newfoundland Standard Time,-03:30
NT,Newfoundland Time,-03:30
NUT,Niue Time,-11:00
NZDT,New Zealand Daylight Time,+13:00
NZST,New Zealand Standard Time,+12:00
OMST,Omsk Time,+06:00
ORAT,Oral Time,+05:00
PDT,Pacific Daylight Time (North America),-07:00
PET,Peru Time,-05:00
PETT,Kamchatka Time,+12:00
PGT,Papua New Guinea Time,+10:00
PHOT,Phoenix Island Time,+13:00
PHT,Philippine Time,+08:00
PKT,Pakistan Standard Time,+05:00
PMDT,Saint Pierre and Miquelon Daylight Time,-02:00
PMST,Saint Pierre and Miquelon Standard Time,-03:00
PONT,Pohnpei Standard Time,+11:00
PST,Pacific Standard Time (North America),-08:00
PST,Philippine Standard Time,+08:00
PYST,Paraguay Summer Time (South America)[7],-03:00
PYT,Paraguay Time (South America)[8],-04:00
RET,Réunion Time,+04:00
ROTT,Rothera Research Station Time,-03:00
SAKT,Sakhalin Island Time,+11:00
SAMT,Samara Time,+04:00
SAST,South African Standard Time,+02:00
SBT,Solomon Islands Time,+11:00
SCT,Seychelles Time,+04:00
SGT,Singapore Time,+08:00
SLST,Sri Lanka Standard Time,+05:30
SRET,Srednekolymsk Time,+11:00
SRT,Suriname Time,-03:00
SST,Samoa Standard Time,-11:00
SST,Singapore Standard Time,+08:00
SYOT,Showa Station Time,+03:00
TAHT,Tahiti Time,-10:00
THA,Thailand Standard Time,+07:00
TFT,Indian/Kerguelen,+05:00
TJT,Tajikistan Time,+05:00
TKT,Tokelau Time,+13:00
TLT,Timor Leste Time,+09:00
TMT,Turkmenistan Time,+05:00
TRT,Turkey Time,+03:00
TOT,Tonga Time,+13:00
TVT,Tuvalu Time,+12:00
ULAST,Ulaanbaatar Summer Time,+09:00
ULAT,Ulaanbaatar Standard Time,+08:00
USZ1,Kaliningrad Time,+02:00
,Coordinated Universal Time,±00:00
UYST,Uruguay Summer Time,-02:00
UYT,Uruguay Standard Time,-03:00
UZT,Uzbekistan Time,+05:00
VET,Venezuelan Standard Time,-04:00
VLAT,Vladivostok Time,+10:00
VOLT,Volgograd Time,+04:00
VOST,Vostok Station Time,+06:00
VUT,Vanuatu Time,+11:00
WAKT,Wake Island Time,+12:00
WAST,West Africa Summer Time,+02:00
WAT,West Africa Time,+01:00
WEST,Western European Summer Time,+01:00
WET,Western European Time,±00:00
WIT,Western Indonesian Time,+07:00
WST,Western Standard Time,+08:00
YAKT,Yakutsk Time,+09:00
YEKT,Yekaterinburg Time,+05:00
